alpha,n,wins,wr_pct,pnl_cents,cost_cents,roi_pct,sharpe,prof_mo,n_mo,elapsed_s
0.0,48,9,18.75,495.0,405.0,122.2,0.339,6,16,10.8
0.1,44,9,20.45,538.0,362.0,148.6,0.389,6,15,11.6
0.2,43,9,20.93,543.0,357.0,152.1,0.392,6,15,11.0
0.3,44,9,20.45,537.0,363.0,147.9,0.374,6,16,11.0
0.4,44,9,20.45,534.0,366.0,145.9,0.37,6,16,10.7
0.5,46,9,19.57,521.0,379.0,137.5,0.366,6,16,11.3
0.6,48,9,18.75,506.0,394.0,128.4,0.358,6,16,11.0
0.7,45,9,20.0,524.0,376.0,139.4,0.374,6,16,10.9
0.8,44,9,20.45,532.0,368.0,144.6,0.377,6,16,10.9
1.0,42,9,21.43,562.0,338.0,166.3,0.388,6,17,11.3
