filter,n,wins,wr_pct,pnl_cents,cost_cents,roi_pct,avg_pnl,lift_pct
no filter (baseline),52,9,17.31,464.0,436.0,106.4,8.92,0.0
model_minus_market_pp ≥ 2,47,9,19.15,511.0,389.0,131.4,10.87,25.0
model_minus_market_pp ≥ 3,46,9,19.57,519.0,381.0,136.2,11.28,29.8
model_minus_market_pp ≥ 5,43,9,20.93,551.0,349.0,157.9,12.81,51.5
spread_now_cents ≤ 5,41,8,19.51,479.0,321.0,149.2,11.68,42.8
spread_now_cents ≤ 4,37,8,21.62,507.0,293.0,173.0,13.7,66.6
spread_now_cents ≤ 3,27,6,22.22,388.0,212.0,183.0,14.37,76.6
volume_6h_total ≥ 1000,44,9,20.45,539.0,361.0,149.3,12.25,42.9
volume_6h_total ≥ 2000,41,9,21.95,557.0,343.0,162.4,13.59,56.0
spread_now_cents ≤ 5 AND volume_6h_total ≥ 1000,38,8,21.05,499.0,301.0,165.8,13.13,59.4
spread_now_cents ≤ 4 AND volume_6h_total ≥ 2000,34,8,23.53,527.0,273.0,193.0,15.5,86.6
spread_now_cents ≤ 4 AND model_minus_market_pp ≥ 3,35,8,22.86,519.0,281.0,184.7,14.83,78.3
spread_now_cents ≤ 3 AND model_minus_market_pp ≥ 5,24,6,25.0,414.0,186.0,222.6,17.25,116.2
spread_now_cents ≤ 4 AND volume_6h_total ≥ 1000 AND model_minus_market_pp ≥ 3,33,8,24.24,534.0,266.0,200.8,16.18,94.4
spread_now_cents ≤ 3 AND volume_6h_total ≥ 2000 AND model_minus_market_pp ≥ 5,23,6,26.09,424.0,176.0,240.9,18.43,134.5
